CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
20,NASDAQ:KTII,0
1750,NYSE:AIR,55.28
1800,NYSE:ABT,106.7
2034,NASDAQ:ACETQ,0
2098,AMEX:ACU,0
2135,NYSE:ACS,0
2178,AMEX:AE,0
2186,AMEX:BKTI,0
2230,NYSE:ADX,16.56
2488,Nasdaq:AMD,118.93
2491,NYSE:BYI,0
2646,,0
2809,NYSE:AEM,48.73
2969,NYSE:APD,289.3
3116,,0
3153,,0
3197,Nasdaq:CECO,13.18
3370,NYSE:IKN,0
3453,NYSE:ALEX,73.92
3499,NYSE:ALX,186.78
3545,Nasdaq:ALCO,25.41
3570,NYSE:LNG,148.93
3673,NYSE:AYE,0
3845,NYSE:AFC,0
3982,NYSE:ALY,0
4127,Nasdaq:SWKS,107.3
4187,NASDAQ:IDSA,0
4281,NYSE:HWM,46.57
4317,,0
4447,NYSE:HES,132.36
4457,NYSE:UHAL,52.78
4904,Nasdaq:AEP,84.54
4962,NYSE:AXP,169.41
4977,NYSE:AFL,67.8
5094,NYSE:VBF,14.95
5272,NYSE:AIG,56.08
5513,NYSE:UNM,45.55
5768,NASDAQ:ASEI,0
5981,NYSE:AVD,17.33
6176,NYSE:AP,2.97
6201,Nasdaq:AAL,16.32
6207,NYSE:AXR,17.3
6281,Nasdaq:ADI,187.98
6284,NASDAQ:ALOG,0
6845,Nasdaq:APOG,43.15
6885,NYSE:SSI,0
6951,Nasdaq:AMAT,138.52
6955,NYSE:EPAC,27.48
7032,,0
7039,NYSE:TREC,0
7084,NYSE:ADM,74.08
7323,NYSE:EAI,0
7332,NYSE:SWN,5.44
7431,NYSE:AWI,70.47
7536,NYSE:ARW,138.11
7623,Nasdaq:ARTW,2.3
7789,NYSE:ASB,16.8
8063,Nasdaq:ATRO,18.28
8146,Nasdaq:ALOT,14.8
8177,Nasdaq:AAME,2.1
8302,NYSE:ATCO,0
8411,NYSE:ATW,0
8504,NYSE:ENRJ,0
8670,Nasdaq:ADP,220.28
8818,NYSE:AVY,168.04
8858,Nasdaq:AVT,47.77
8868,NYSE:AVP,0
8947,NYSE:AZZ,39.77
