CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
20,NASDAQ:KTII,0
1750,NYSE:AIR,44.59
1800,NYSE:ABT,106.59
2034,NASDAQ:ACETQ,0
2098,AMEX:ACU,0
2135,NYSE:ACS,0
2178,AMEX:AE,0
2186,AMEX:BKTI,0
2230,NYSE:ADX,14.53
2488,Nasdaq:AMD,64.59
2491,NYSE:BYI,0
2646,,0
2809,NYSE:AEM,50.3
2969,NYSE:APD,313.72
3116,,0
3153,,0
3197,Nasdaq:CECO,11.63
3370,NYSE:IKN,0
3453,NYSE:ALEX,59.9
3499,NYSE:ALX,224.87
3545,Nasdaq:ALCO,23.2
3570,NYSE:LNG,152.27
3673,NYSE:AYE,0
3845,NYSE:AFC,0
3982,NYSE:ALY,0
4127,Nasdaq:SWKS,91.68
4187,NASDAQ:IDSA,0
4281,NYSE:HWM,37.58
4317,,0
4447,NYSE:HES,133.63
4457,NYSE:UHAL,57.44
4904,Nasdaq:AEP,94
4962,NYSE:AXP,145.01
4977,NYSE:AFL,68.92
5094,NYSE:VBF,15.96
5272,NYSE:AIG,61.47
5513,NYSE:UNM,39.26
5768,NASDAQ:ASEI,0
5981,NYSE:AVD,22.07
6176,NYSE:AP,2.46
6201,Nasdaq:AAL,12.48
6207,NYSE:AXR,12.22
6281,Nasdaq:ADI,165.14
6284,NASDAQ:ALOG,0
6845,Nasdaq:APOG,43.69
6885,NYSE:SSI,0
6951,Nasdaq:AMAT,103.99
6955,NYSE:EPAC,23.8
7032,,0
7039,NYSE:TREC,0
7084,NYSE:ADM,92.65
7323,NYSE:EAI,0
7332,NYSE:SWN,6.01
7431,NYSE:AWI,68.2
7536,NYSE:ARW,101.9
7623,Nasdaq:ARTW,1.91
7789,NYSE:ASB,21.97
8063,Nasdaq:ATRO,9.59
8146,Nasdaq:ALOT,11.98
8177,Nasdaq:AAME,2.48
8302,NYSE:ATCO,0
8411,NYSE:ATW,0
8504,NYSE:ENRJ,0
8670,Nasdaq:ADP,245.06
8818,NYSE:AVY,176.48
8858,Nasdaq:AVT,41.53
8868,NYSE:AVP,0
8947,NYSE:AZZ,39.07
9092,NYSE:BMI,109.43
9326,Nasdaq:BCPC,122.5
9346,NASDAQ:PTVCA,0
9389,NYSE:BALL,50.61
9521,AMEX:BCV,0
9622,NASDAQ:BMLP,0
9631,NYSE:BNS,47.22
9984,NYSE:B,39.01
10048,AMEX:BRN,0
10081,NYSE:BRL,0
10254,NYSE:ESTE,0
10329,Nasdaq:BSET,17.12
10456,NYSE:BAX,49.95
10795,NYSE:BDX,248.46
11544,NYSE:WRB,71.53
12040,AMEX:BDL,0
12208,NYSE:BIO,401.82
12239,Nasdaq:DOMH,3.53
12400,NYSE:BKH,68.58
12603,NASDAQ:PY,40.78
12659,NYSE:HRB,39.02
12927,NYSE:BA,185.68
12978,NYSE:OMX,0
13573,,0
14177,Nasdaq:BRID,12.85
14195,NYSE:BGG,0
14272,NYSE:BMY,73.16
14280,NASDAQ:MSGI,0
14693,NYSE:BFA,65.55
14707,NYSE:CAL,20.06
14846,NYSE:BRT,19.36
15615,NYSE:MTZ,85.41
16040,NYSE:CBT,66.29
16058,NYSE:CACI,297.1
16099,NYSE:LUB,0
16160,Nasdaq:CALM,61.08
16732,NYSE:CPB,56.83
16859,NYSE:SRL,7.66
16868,NYSE:CNI,119.85
16875,NYSE:CP,74.38
16918,NYSE:STZ,230.29
17313,Nasdaq:CSWC,17
17485,NYSE:LBMH,0
17843,NYSE:CRS,36.59
18061,NASDAQ:CASC,0
18169,NYSE:DOLE,9.73
18172,NYSE:CAS,0
18230,NYSE:CAT,232.29
18255,NYSE:CATO,8.92
18349,NYSE:SNV,35.75
18396,NYSE:CDI,0
18498,NYSE:GCO,41.8
18748,AMEX:CET,0
18926,NYSE:LUMN,5.29
19399,NASDAQ:CHFN,0
19411,NASDAQ:MGLN,0
19446,NYSE:CMD,0
19520,NASDAQ:CHTT,0
19584,NYSE:CHE,501.02
19612,NASDAQ:TCFCP,0
19617,NYSE:JPM,130.06
19745,NYSE:CPK,118.13
19871,AMEX:CVR,0
20212,Nasdaq:CHDN,103.16
20232,NASDAQ:CHYR,0
20286,Nasdaq:CINF,100.94
20388,NYSE:CIT,0
20430,,0
20520,Nasdaq:FYBR,24.14
20629,NYSE:CSS,0
20740,NYSE:CLC,0
21076,NYSE:CLX,144.81
21175,NYSE:CNA,40.36
21344,NYSE:KO,62.84
21510,NASDAQ:COHR,0
21535,Nasdaq:COHU,32.16
21665,NYSE:CL,77.98
22105,,0
22252,NASDAQ:CMRO,0
22301,NYSE:CCZ,51.94
22356,Nasdaq:CBSH,61.49
22444,NYSE:CMC,47.27
22551,,0
22701,Nasdaq:PEGY,23.1
22912,,0
23082,NYSE:CSC,0
23111,Nasdaq:CTG,0
23194,NYSE:CRK,14.4
23197,Nasdaq:CMTL,12.23
23217,NYSE:CAG,38.13
23666,NYSE:HSH,0
23675,NYSE:CNW,0
23795,NYSE:CTO,18.29
24090,NYSE:CIA,2.32
24104,NYSE:CUO,0
24545,NYSE:TAP,51.69
24741,NYSE:GLW,31.75
25212,NASDAQ:CRRC,0
25232,NYSE:CUZ,24.76
25445,NYSE:CR,33.72
25475,,0
25743,Nasdaq:TXMD,6.97
25793,NASDAQ:ATX,0
25895,Nasdaq:CRWS,5.3
26058,NYSE:CTS,38.69
26076,NYSE:CUB,0
26172,NYSE:CMI,237.19
26324,NYSE:CW,165.51
26537,NYSE:STST,0
26780,NYSE:DAN,15.2
27048,NYSE:DST,0
27093,Nasdaq:USAU,4.27
