CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
20,NASDAQ:KTII,0
1750,NYSE:AIR,40.52
1800,NYSE:ABT,104.41
2034,NASDAQ:ACETQ,0
2098,AMEX:ACU,0
2135,NYSE:ACS,0
2178,AMEX:AE,0
2186,AMEX:BKTI,0
2230,NYSE:ADX,15.24
2488,Nasdaq:AMD,83.79
2491,NYSE:BYI,0
2646,,0
2809,NYSE:AEM,51.45
2969,NYSE:APD,241.01
3116,,0
3153,,0
3197,Nasdaq:CECO,5.8
3370,NYSE:IKN,0
3453,NYSE:ALEX,73.81
3499,NYSE:ALX,217.58
3545,Nasdaq:ALCO,39.01
3570,NYSE:LNG,132.73
3673,NYSE:AYE,0
3845,NYSE:AFC,0
3982,NYSE:ALY,0
4127,Nasdaq:SWKS,93.2
4187,NASDAQ:IDSA,0
4281,NYSE:HWM,31.66
4317,,0
4447,NYSE:HES,107.74
4457,NYSE:UHAL,46.5
4904,Nasdaq:AEP,89.95
4962,NYSE:AXP,144.76
4977,NYSE:AFL,54.18
5094,NYSE:VBF,15.04
5272,NYSE:AIG,52.15
5513,NYSE:UNM,33.87
5768,NASDAQ:ASEI,0
5981,NYSE:AVD,21.87
6176,NYSE:AP,3.65
6201,Nasdaq:AAL,13.04
6207,NYSE:AXR,10.95
6281,Nasdaq:ADI,148.35
6284,NASDAQ:ALOG,0
6845,Nasdaq:APOG,37.72
6885,NYSE:SSI,0
6951,Nasdaq:AMAT,95.17
6955,NYSE:EPAC,17.98
7032,,0
7039,NYSE:TREC,0
7084,NYSE:ADM,79.4
7323,NYSE:EAI,0
7332,NYSE:SWN,6.91
7431,NYSE:AWI,74.66
7536,NYSE:ARW,109.3
7623,Nasdaq:ARTW,2.78
7789,NYSE:ASB,18.51
8063,Nasdaq:ATRO,10.97
8146,Nasdaq:ALOT,11.94
8177,Nasdaq:AAME,3.01
8302,NYSE:ATCO,0
8411,NYSE:ATW,0
8504,NYSE:ENRJ,0
8670,Nasdaq:ADP,206.84
8818,NYSE:AVY,155.35
8858,Nasdaq:AVT,42.57
8868,NYSE:AVP,0
8947,NYSE:AZZ,41.5
9092,NYSE:BMI,76.56
9326,Nasdaq:BCPC,116.67
9346,NASDAQ:PTVCA,0
9389,NYSE:BALL,65.49
9521,AMEX:BCV,0
9622,NASDAQ:BMLP,0
9631,NYSE:BNS,62.07
9984,NYSE:B,32.15
10048,AMEX:BRN,0
10081,NYSE:BRL,0
10254,NYSE:ESTE,0
10329,Nasdaq:BSET,15.71
10456,NYSE:BAX,64.02
10795,NYSE:BDX,236.53
11544,NYSE:WRB,67.53
