CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
20,NASDAQ:KTII,0
1750,NYSE:AIR,40.41
1800,NYSE:ABT,111.44
2034,NASDAQ:ACETQ,0
2098,AMEX:ACU,0
2135,NYSE:ACS,0
2178,AMEX:AE,0
2186,AMEX:BKTI,0
2230,NYSE:ADX,19.41
2488,Nasdaq:AMD,82.59
2491,NYSE:BYI,0
2646,,0
2809,NYSE:AEM,64.06
2969,NYSE:APD,296.56
3116,,0
3153,,0
3197,Nasdaq:CECO,7.48
3370,NYSE:IKN,0
3453,NYSE:ALEX,Loading...
3499,NYSE:ALX,275.67
3545,Nasdaq:ALCO,34.09
3570,NYSE:LNG,Loading...
3673,NYSE:AYE,0
3845,NYSE:AFC,0
3982,NYSE:ALY,0
4127,Nasdaq:SWKS,171.54
4187,NASDAQ:IDSA,0
4281,NYSE:HWM,34.07
4317,,0
4447,NYSE:HES,90.4
4457,NYSE:UHAL,53.49
4904,Nasdaq:AEP,83.19
4962,NYSE:AXP,164.9
4977,NYSE:AFL,Loading...
5094,NYSE:VBF,Loading...
5272,NYSE:AIG,47.75
5513,NYSE:UNM,28.2
5768,NASDAQ:ASEI,0
5981,NYSE:AVD,17.29
6176,NYSE:AP,6.05
6201,Nasdaq:AAL,22.45
6207,NYSE:AXR,12.34
6281,Nasdaq:ADI,164.15
6284,NASDAQ:ALOG,0
6845,Nasdaq:APOG,37.7
6885,NYSE:SSI,Loading...
6951,Nasdaq:AMAT,133.05
6955,NYSE:EPAC,25.26
7032,,0
7039,NYSE:TREC,0
7084,NYSE:ADM,61.84
7323,NYSE:EAI,0
7332,NYSE:SWN,5.25
7431,NYSE:AWI,105.85
7536,NYSE:ARW,112.33
7623,Nasdaq:ARTW,3.21
7789,NYSE:ASB,21.3
8063,Nasdaq:ATRO,18.16
8146,Nasdaq:ALOT,13.96
8177,Nasdaq:AAME,4.07
8302,NYSE:ATCO,0
8411,NYSE:ATW,0
8504,NYSE:ENRJ,0
8670,Nasdaq:ADP,196.47
8818,NYSE:AVY,209.88
8858,Nasdaq:AVT,39.42
8868,NYSE:AVP,0
8947,NYSE:AZZ,51.53
9092,NYSE:BMI,94.79
9326,Nasdaq:BCPC,131.87
9346,NASDAQ:PTVCA,0
9389,NYSE:BALL,79.96
9521,AMEX:BCV,0
9622,NASDAQ:BMLP,0
9631,NYSE:BNS,64.65
9984,NYSE:B,52.16
10048,AMEX:BRN,0
10081,NYSE:BRL,0
10254,NYSE:ESTE,0
10329,Nasdaq:BSET,27.44
10456,NYSE:BAX,81.51
10795,NYSE:BDX,234.79
11544,NYSE:WRB,Loading...
12040,AMEX:BDL,0
12208,NYSE:BIO,625.67
12239,Nasdaq:DOMH,16.24
12400,NYSE:BKH,69.55
12603,NASDAQ:PY,41.99
12659,NYSE:HRB,24.18
12927,NYSE:BA,245.28
12978,NYSE:OMX,Loading...
13573,,0
14177,Nasdaq:BRID,13.11
14195,NYSE:BGG,0
14272,NYSE:BMY,66.83
14280,NASDAQ:MSGI,0
14693,NYSE:BFA,69.85
14707,NYSE:CAL,26.68
14846,NYSE:BRT,17.97
15615,NYSE:MTZ,103.58
16040,NYSE:CBT,57.61
16058,NYSE:CACI,263.09
16099,NYSE:LUB,Loading...
16160,Nasdaq:CALM,35.92
16732,NYSE:CPB,45.55
16859,NYSE:SRL,Loading...
16868,NYSE:CNI,105.04
16875,NYSE:CP,76.82
16918,NYSE:STZ,225.94
17313,Nasdaq:CSWC,25.52
17485,NYSE:LBMH,0
17843,NYSE:CRS,40.54
