CIK,"('exchange_and_symbol', 'variation_0')",stock_price_at_prediction_date
20,NASDAQ:KTII,0
1750,NYSE:AIR,46.18
1800,NYSE:ABT,121.76
2034,NASDAQ:ACETQ,0
2098,AMEX:ACU,0
2135,NYSE:ACS,0
2178,AMEX:AE,0
2186,AMEX:BKTI,0
2230,NYSE:ADX,18.16
2488,Nasdaq:AMD,115.92
2491,NYSE:BYI,0
2646,,0
2809,NYSE:AEM,62.47
2969,NYSE:APD,234.2
3116,,0
3153,,0
3197,Nasdaq:CECO,5.81
3370,NYSE:IKN,0
3453,NYSE:ALEX,119.91
3499,NYSE:ALX,250.43
3545,Nasdaq:ALCO,33.7
3570,NYSE:LNG,135.8
3673,NYSE:AYE,0
3845,NYSE:AFC,0
3982,NYSE:ALY,0
4127,Nasdaq:SWKS,134.54
4187,NASDAQ:IDSA,0
4281,NYSE:HWM,35.88
4317,,0
4447,NYSE:HES,103.85
4457,NYSE:UHAL,62.66
4904,Nasdaq:AEP,94.69
4962,NYSE:AXP,189.09
4977,NYSE:AFL,63.4
5094,NYSE:VBF,17.13
5272,NYSE:AIG,61.74
5513,NYSE:UNM,29.66
5768,NASDAQ:ASEI,0
5981,NYSE:AVD,19.5
6176,NYSE:AP,6.45
6201,Nasdaq:AAL,16.09
6207,NYSE:AXR,12.12
6281,Nasdaq:ADI,164.22
6284,NASDAQ:ALOG,0
6845,Nasdaq:APOG,49.48
6885,NYSE:SSI,0
6951,Nasdaq:AMAT,134.2
6955,NYSE:EPAC,20
7032,,0
7039,NYSE:TREC,0
7084,NYSE:ADM,87.16
7323,NYSE:EAI,0
7332,NYSE:SWN,5.35
7431,NYSE:AWI,95.12
7536,NYSE:ARW,126.97
7623,Nasdaq:ARTW,6.37
7789,NYSE:ASB,23.68
8063,Nasdaq:ATRO,13
8146,Nasdaq:ALOT,14.8
8177,Nasdaq:AAME,2.62
8302,NYSE:ATCO,0
8411,NYSE:ATW,0
8504,NYSE:ENRJ,0
8670,Nasdaq:ADP,212.53
8818,NYSE:AVY,170.77
8858,Nasdaq:AVT,43.04
8868,NYSE:AVP,0
8947,NYSE:AZZ,49.85
9092,NYSE:BMI,99.62
9326,Nasdaq:BCPC,139.99
9346,NASDAQ:PTVCA,0
9389,NYSE:BALL,93.58
9521,AMEX:BCV,0
9622,NASDAQ:BMLP,0
9631,NYSE:BNS,73.77
9984,NYSE:B,41.93
10048,AMEX:BRN,0
10081,NYSE:BRL,0
10254,NYSE:ESTE,0
10329,Nasdaq:BSET,20.44
10456,NYSE:BAX,79.05
10795,NYSE:BDX,260.89
11544,NYSE:WRB,65.31
12040,AMEX:BDL,0
